date,indicator_name,indicator_value,region,frequency,caliber
2012-09-01,工业增加值_当月同比_mom_yoy,8.9,全国,monthly,mom_yoy
2012-10-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.5,全国,monthly,ytd_yoy
2012-10-01,房地产开发投资_累计值,51045.93,全国,monthly,cum_level
2012-10-01,社会消费品零售总额_累计值,149422.0,全国,monthly,cum_level
2012-10-01,工业增加值_当月同比_mom_yoy,9.2,全国,monthly,mom_yoy
2012-11-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.7,全国,monthly,ytd_yoy
2012-11-01,房地产开发投资_累计值,57628.75,全国,monthly,cum_level
2012-11-01,社会消费品零售总额_累计值,168355.8,全国,monthly,cum_level
2012-11-01,工业增加值_当月同比_mom_yoy,9.6,全国,monthly,mom_yoy
2012-12-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.7,全国,monthly,ytd_yoy
2012-12-01,房地产开发投资_累计值,64772.4,全国,monthly,cum_level
2012-12-01,社会消费品零售总额_累计值,186832.5,全国,monthly,cum_level
2012-12-01,工业增加值_当月同比_mom_yoy,10.1,全国,monthly,mom_yoy
2013-02-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.6,全国,monthly,ytd_yoy
2013-02-01,房地产开发投资_累计值,71803.79,全国,monthly,cum_level
2013-02-01,社会消费品零售总额_累计值,207166.7,全国,monthly,cum_level
2013-02-01,工业增加值_当月同比_mom_yoy,10.3,全国,monthly,mom_yoy
2013-04-01,固定资产投资（不含农户）_累计同比_ytd_yoy,21.2,全国,monthly,ytd_yoy
2013-04-01,房地产开发投资_累计值,6669.7,全国,monthly,cum_level
2013-04-01,社会消费品零售总额_累计值,37809.8,全国,monthly,cum_level
2013-05-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.9,全国,monthly,ytd_yoy
2013-05-01,房地产开发投资_累计值,13132.57,全国,monthly,cum_level
2013-05-01,社会消费品零售总额_累计值,55451.0,全国,monthly,cum_level
2013-05-01,工业增加值_当月同比_mom_yoy,8.9,全国,monthly,mom_yoy
2013-06-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.6,全国,monthly,ytd_yoy
2013-06-01,房地产开发投资_累计值,19180.14,全国,monthly,cum_level
2013-06-01,社会消费品零售总额_累计值,73051.3,全国,monthly,cum_level
2013-06-01,工业增加值_当月同比_mom_yoy,9.3,全国,monthly,mom_yoy
2013-07-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.4,全国,monthly,ytd_yoy
2013-07-01,房地产开发投资_累计值,26797.97,全国,monthly,cum_level
2013-07-01,社会消费品零售总额_累计值,91937.6,全国,monthly,cum_level
2013-07-01,工业增加值_当月同比_mom_yoy,9.2,全国,monthly,mom_yoy
2013-08-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.1,全国,monthly,ytd_yoy
2013-08-01,房地产开发投资_累计值,36827.94,全国,monthly,cum_level
2013-08-01,社会消费品零售总额_累计值,110764.3,全国,monthly,cum_level
2013-08-01,工业增加值_当月同比_mom_yoy,8.9,全国,monthly,mom_yoy
2013-09-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.1,全国,monthly,ytd_yoy
2013-09-01,房地产开发投资_累计值,44301.58,全国,monthly,cum_level
2013-09-01,社会消费品零售总额_累计值,129277.5,全国,monthly,cum_level
2013-09-01,工业增加值_当月同比_mom_yoy,9.7,全国,monthly,mom_yoy
2013-10-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.3,全国,monthly,ytd_yoy
2013-10-01,房地产开发投资_累计值,52119.77,全国,monthly,cum_level
2013-10-01,社会消费品零售总额_累计值,148163.7,全国,monthly,cum_level
2013-10-01,工业增加值_当月同比_mom_yoy,10.4,全国,monthly,mom_yoy
2013-11-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.2,全国,monthly,ytd_yoy
2013-11-01,房地产开发投资_累计值,61119.55,全国,monthly,cum_level
2013-11-01,社会消费品零售总额_累计值,168817.0,全国,monthly,cum_level
2013-11-01,工业增加值_当月同比_mom_yoy,10.2,全国,monthly,mom_yoy
2013-12-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.1,全国,monthly,ytd_yoy
2013-12-01,房地产开发投资_累计值,68693.18,全国,monthly,cum_level
2013-12-01,社会消费品零售总额_累计值,190308.3,全国,monthly,cum_level
2013-12-01,工业增加值_当月同比_mom_yoy,10.3,全国,monthly,mom_yoy
2014-02-01,固定资产投资（不含农户）_累计同比_ytd_yoy,19.9,全国,monthly,ytd_yoy
2014-02-01,房地产开发投资_累计值,77412.16,全国,monthly,cum_level
2014-02-01,社会消费品零售总额_累计值,211320.2,全国,monthly,cum_level
2014-02-01,工业增加值_当月同比_mom_yoy,10.0,全国,monthly,mom_yoy
2014-03-01,固定资产投资（不含农户）_累计同比_ytd_yoy,19.6,全国,monthly,ytd_yoy
2014-03-01,房地产开发投资_累计值,86013.38,全国,monthly,cum_level
2014-03-01,社会消费品零售总额_累计值,234380.0,全国,monthly,cum_level
2014-03-01,工业增加值_当月同比_mom_yoy,9.7,全国,monthly,mom_yoy
2014-05-01,固定资产投资（不含农户）_累计同比_ytd_yoy,17.9,全国,monthly,ytd_yoy
2014-05-01,房地产开发投资_累计值,7955.98,全国,monthly,cum_level
2014-05-01,社会消费品零售总额_累计值,42280.7,全国,monthly,cum_level
2014-06-01,固定资产投资（不含农户）_累计同比_ytd_yoy,17.6,全国,monthly,ytd_yoy
2014-06-01,房地产开发投资_累计值,15339.24,全国,monthly,cum_level
2014-06-01,社会消费品零售总额_累计值,62081.2,全国,monthly,cum_level
2014-06-01,工业增加值_当月同比_mom_yoy,8.8,全国,monthly,mom_yoy
2014-07-01,固定资产投资（不含农户）_累计同比_ytd_yoy,17.3,全国,monthly,ytd_yoy
2014-07-01,房地产开发投资_累计值,22321.56,全国,monthly,cum_level
2014-07-01,社会消费品零售总额_累计值,81782.4,全国,monthly,cum_level
2014-07-01,工业增加值_当月同比_mom_yoy,8.7,全国,monthly,mom_yoy
2014-08-01,固定资产投资（不含农户）_累计同比_ytd_yoy,17.2,全国,monthly,ytd_yoy
2014-08-01,房地产开发投资_累计值,30738.58,全国,monthly,cum_level
2014-08-01,社会消费品零售总额_累计值,103032.2,全国,monthly,cum_level
2014-08-01,工业增加值_当月同比_mom_yoy,8.8,全国,monthly,mom_yoy
